start_date,end_date,"station id",lat,lon,elev
1978/10/01,2100/01/01,742,39.31,-111.43,9910
1978/10/01,2100/01/01,682,39.05,-107.87,9960
2011/08/23,2100/01/01,1154,37.68,-112.86,9972
2008/10/16,2100/01/01,1123,40.51,-105.77,9980
1978/10/01,2100/01/01,828,40.68,-110.95,9992
1979/10/01,2100/01/01,303,37.33,-105.07,10000
1985/10/01,2100/01/01,465,37.79,-108.02,10000
1978/10/01,2100/01/01,532,36.72,-106.26,10000
1985/10/01,2100/01/01,622,39.06,-108.06,10000
1978/10/01,2100/01/01,673,41.15,-106.97,10000
1994/08/30,2100/01/01,905,37.43,-108.17,10000
